var; spanish; english; french;id;
title;Zonas Comunes; Common Areas;Zones Communes;
subtitle;Relax y vistas inolvidables;Relax and unforgettable views; Relax et vues inoubliables;
description;En el segundo piso, tendrá acceso a una maravillosa terraza donde podrá tomar el sol y disfrutar de unas magníficas vistas.;On the second floor, there is a wonderful terrace where you can sunbathe and enjoy unique views.;Au deuxième étage, vous aurez accès à une merveilleuse terrasse qui vous invitera à prendre le soleil en profitant d’une vue magnifique.;
subdescription;También hay a vuestra disposición una barbacoa y una zona con mesas y sillas donde podrá disfrutar de las comidas que haya preparado.;There is also a barbecue and a table with some chairs where you will be able to enjoy the dishes you have prepared .;Il y a aussi à votre disposition un barbecue et un espace avec table et chaises où vous pourrez savourez les mets que vous aurez preparé.;
imgs; Solarium, BBQ, BBQ, Table, Terraza;Solarium, BBQ, BBQ, Table, Terrace;Solarium, BBQ, BBQ, Table, Terrasse;solarium.jpg, BBQ_1.jpg, Terrasse_BBQ.jpg, table.jpg, hamacas.jpg;
virtual_tour;;;;;
