var; spanish; english;french;id;
title; Jameos; Jameos;Jameos;;
subtitle; Ideal para la familia; Ideal for the family;Idéal pour un couple;;
description;Ubicado en la planta baja, se trata de un apartamento de <span class = "w3-tag w3-light-gray"> 30 m² </span> que consta de un dormitorio, un salón-cocina y un baño con ducha. Dormitorio con 2 camas individuales.;Located on the ground floor, this is a <span class = "w3-tag w3-light-gray"> 30m² </span> apartment consisting of a bedroom, a living room-kitchen and a bathroom with shower. The bedroom has 2 twin beds.;Situé au rez de chaussée, c'est un appartement de <span class="w3-tag w3-light-grey">30m²</span>  constitué d'une chambre, un salon-cuisine et une salle de bain avec douche. Chambre à coucher avec 2 lits jumeaux.;
subdescription;El acceso al apartamento se realiza desde en el paseo marítimo.;Access to the apartment is made from the promenade.;L'accès se fait exclusivement par la promenade maritime.;;
imgs;Jameos, Salon, Salón-cocina, Habitación, Baño;Jameos, Living-room, Kitchen, Bedroom, Toilet;Jameos, Salon, Salon-cuisine, Chambre, Toilettes;logo_jameos.jpg, salon.jpg, salon_cocina.jpg, chambre.jpg, bathroom.jpg;
price;;;;50-60;
