var; spanish; english;french;id
title; Mirador; Mirador;Mirador;
subtitle; Ideal para la familia; Ideal for the family;Idéal pour une famille;
description;Situado en el primer piso, este apartamento de <span class = "w3-tag w3-light-gray"> 38m² </span> consta de dos dormitorios, un salón-cocina y un baño con bañera. El primer dormitorio tiene 2 camas individuales y el segundo dormitorio tiene una cama “queen’s size”.;Located on the first floor, this  <span class = "w3-tag w3-light-gray"> 38m² </span> apartment consists of two bedrooms, a living room-kitchen and a bathroom with bathtub. The first bedroom has 2 twin beds and a second bedroom has a bed “queen’s size”.;Situé au premier étage, c'est un appartement de <span class="w3-tag w3-light-grey">38m²</span> constitué de deux chambres, un salon-cuisine et une salle de bain avec douche. Une chambre à coucher spacieuse avec 2 lits jumeaux et une deuxième chambre avec un "queens" bed.;
subdescription;Se accede a la vivienda a través de la entrada principal, por la calle Las Salinas.;Access is done via the main entrance, through the street Las Salinas.;L'accès se fait par l'entrée principale, par la rue Las Salinas.;
imgs;Mirador, Salón, Cocina,Vistas, Habitación 1, Habitación 2, Baño, Baño;Mirador, Living Room, Kitchen, Views, Bedroom 1, Bedroom 2, Toilet, Toilet;Mirador, Salon, Cuisine, Vues, Chambre 1 , Chambre 2, Toilettes, Toilettes; logo_mirador.png, Salon_1.JPEG, Salon_3.JPEG, Salon_4.JPEG, Chambre_1.JPEG, Chambre_2.JPEG, BN1.jpg, BN4.jpg;
price;;;;65-80;
