var; spanish; english;french;id;
title; Jameos; Jameos;Jameos;;
subtitle; Ideal para la familia; Ideal for the family;Idéal pour un couple;;
description; Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book; Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book;Situé au rez de chaussée, c'est un appartement de <span class="w3-tag w3-light-grey">30m²</span>  constitué chambre, un salon-cuisine et une salle de bain avec douche. Chambre à coucher avec 2 lits jumeaux.;;
subdescription; Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book; Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book;L'accès se fait exclusivement par la promenade maritime.;;
imgs;Jameos, Salon, Salón-cocina, Habitación, Baño;Jameos, Living-room, Kitchen, Bedroom, Toilet;Jameos, Salon, Salon-cuisine, Chambre, Toilettes;logo_jameos.png, salon.JPEG, salon-cocina.JPG, chambre.JPEG, bathroom.JPEG;
price;;;;45-60;
