var; spanish; english; french;id;
title;Zonas Comunes; Common Areas;Zones Communes;
subtitle;Ideal para bbq;; Relax et vues inoubliables;
description;;;Au deuxième étage, vous aurez accès à une merveilleuse terrasse qui vous invitera à prendre le soleil en profitant d’une vue magnifique.;
subdescription;;;Il y a aussi à votre disposition un barbecue et un espace avec table et chaises où vous pourrez savourez les mets que vous aurez preparé.;
imgs; Solarium, BBQ, BBQ, Table, Terraza;Solarium, BBQ, BBQ, Table, Terrace;Solarium, BBQ, BBQ, Table, Terrasse;solarium.jpg, BBQ_1.jpg, Terrasse_BBQ.jpg, table.jpg, hamacas.jpg;
